winner,winner score,loser score,strategy,opponent,against,hand,length,target
tree-v6,496,459,"[1, 3, 2, 1, 0, 2, 0, 0]","[2, 1, 0, 0, 0, 0, 0, 0]",1,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7 8 9 10 J Q Q Q K K 2 2,23,best
tree-v6,496,459,"[1, 2, 2, 1, 0, 2, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 0]",1,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7 8 9 10 J Q K K 2 2,21,best
tree-v6,496,459,"[1, 1, 2, 0, 0, 2, 0, 0]","[2, 2, 0, 0, 0, 1, 0, 0]",5,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7 K K,17,pass
tree-v6,496,459,"[1, 1, 2, 0, 0, 2, 0, 0]","[2, 3, 0, 0, 0, 1, 0, 0]",1,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7 K K,15,best
tree-v6,496,459,"[1, 0, 2, 0, 0, 2, 0, 0]","[2, 4, 0, 0, 0, 1, 0, 0]",1,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7,13,pass
tree-v6,496,459,"[1, 0, 2, 0, 0, 2, 0, 0]","[2, 5, 0, 0, 0, 1, 0, 0]",1,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7,11,pass
tree-v6,496,459,"[1, 0, 2, 0, 0, 2, 0, 0]","[2, 6, 0, 0, 0, 1, 0, 0]",1,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7,9,pass
tree-v6,496,459,"[1, 0, 2, 0, 0, 2, 0, 0]","[2, 6, 0, 1, 0, 1, 0, 0]",3,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7,4,pass
tree-v6,495,448,"[1, 7, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",5,3 3 3 3 4 5 5 6 6 8 8 9 9 J J Q Q Q K K 2 2,23,pass
tree-v6,495,448,"[1, 7, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]",2,3 3 3 3 4 5 5 6 6 8 8 9 9 J J Q Q Q K K 2 2,20,best
tree-v6,495,448,"[1, 7, 0, 0, 0, 1, 0, 0]","[0, 0, 2, 0, 0, 1, 0, 0]",2,3 3 3 3 4 5 5 6 6 8 8 9 9 J J K K 2 2,17,pass
tree-v6,495,448,"[1, 7, 0, 0, 0, 1, 0, 0]","[0, 0, 3, 0, 0, 1, 0, 0]",2,3 3 3 3 4 5 5 6 6 8 8 9 9 J J K K 2 2,14,pass
tree-v6,495,448,"[1, 7, 0, 0, 0, 1, 0, 0]","[1, 0, 3, 0, 0, 1, 0, 0]",0,3 3 3 3 4 5 5 6 6 8 8 9 9 J J K K 2 2,13,best
tree-v6,495,448,"[0, 7, 0, 0, 0, 1, 0, 0]","[2, 0, 3, 0, 0, 1, 0, 0]",0,3 3 3 3 5 5 6 6 8 8 9 9 J J K K 2 2,12,pass
tree-v6,495,448,"[0, 7, 0, 0, 0, 1, 0, 0]","[2, 1, 3, 0, 0, 1, 0, 0]",1,3 3 3 3 5 5 6 6 8 8 9 9 J J K K 2 2,10,best
tree-v6,495,448,"[0, 6, 0, 0, 0, 1, 0, 0]","[2, 2, 3, 0, 0, 1, 0, 0]",1,3 3 3 3 6 6 8 8 9 9 J J K K 2 2,8,best
tree-v6,495,448,"[0, 5, 0, 0, 0, 1, 0, 0]","[2, 3, 3, 0, 0, 1, 0, 0]",1,3 3 3 3 6 6 8 8 9 9 K K 2 2,6,best
tree-v6,495,448,"[0, 3, 0, 0, 0, 1, 0, 0]","[2, 4, 3, 0, 0, 1, 0, 0]",1,3 3 3 3 8 8 9 9 K K,4,best
