winner,winner score,loser score,strategy,opponent,against,hand,length,target
tree-v6,509,464,"[2, 2, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",0,6 8 9 9 Q Q Q Q Q Q K K K K K,26,best
tree-v6,509,464,"[1, 2, 0, 0, 0, 2, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0]",0,8 9 9 Q Q Q Q Q Q K K K K K,25,combat
tree-v6,509,464,"[0, 1, 0, 0, 0, 2, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0]",0,9 9 Q Q Q Q Q K K K K K,24,combat
tree-v6,509,464,"[0, 0, 0, 0, 0, 1, 0, 0]","[3, 1, 0, 0, 0, 0, 0, 0]",1,K K K K K,22,combat
forest-v4,485,493,"[3, 1, 2, 0, 0, 2, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2,3 5 6 6 6 6 8 J J Q Q Q K K K K 2 2 2,24,best
forest-v4,485,493,"[2, 1, 0, 0, 0, 2, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0]",0,5 6 6 6 6 8 J J K K K K,23,best
forest-v4,485,493,"[1, 1, 0, 0, 0, 2, 0, 0]","[2, 0, 1, 0, 0, 0, 0, 0]",0,5 6 6 6 6 J J K K K K,22,best
forest-v4,485,493,"[1, 1, 0, 0, 0, 1, 0, 0]","[2, 0, 1, 0, 0, 1, 0, 0]",5,5 J J K K K K,18,pass
forest-v4,485,493,"[1, 1, 0, 0, 0, 1, 0, 0]","[2, 0, 2, 0, 0, 1, 0, 0]",2,5 J J K K K K,15,pass
forest-v4,485,493,"[0, 1, 0, 0, 0, 0, 0, 0]","[3, 0, 2, 0, 0, 1, 0, 0]",0,J J,14,pass
forest-v4,485,493,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 0, 2, 0, 0, 1, 0, 0]",0,J J,13,pass
forest-v4,485,493,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 1, 2, 0, 0, 1, 0, 0]",1,J J,11,pass
forest-v4,485,493,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 2, 2, 0, 0, 1, 0, 0]",1,J J,9,pass
forest-v4,485,493,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 2, 2, 0, 0, 2, 0, 0]",5,J J,5,pass
tree-v6,510,480,"[4, 0, 0, 0, 0, 2, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 0]",3,3 3 4 4 4 6 6 7 7 7 8 9 9 9 10 Q Q Q K K K K A 2 2 2 2,22,pass
tree-v6,510,480,"[4, 0, 0, 0, 0, 2, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 1]",7,3 3 4 4 4 6 6 7 7 7 8 9 9 9 10 Q Q Q K K K K A 2 2 2 2,17,pass
tree-v6,510,480,"[4, 0, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 2]",7,4 4 4 6 6 8 9 9 9 10 Q Q Q A 2 2 2 2,12,pass
tree-v6,510,480,"[4, 0, 0, 0, 0, 1, 0, 2]","[1, 0, 0, 1, 0, 0, 0, 2]",0,4 4 4 6 6 8 9 9 9 10 Q Q Q A 2 2 2 2,11,best
tree-v6,510,480,"[3, 0, 0, 0, 0, 1, 0, 2]","[2, 0, 0, 1, 0, 0, 0, 2]",0,4 4 6 6 8 9 9 9 10 Q Q Q A 2 2 2 2,10,best
tree-v6,510,480,"[2, 0, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 2]",5,10 A 2 2 2 2,6,best
tree-v6,510,480,"[1, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 1, 0, 2]",0,A,5,best
