winner,winner score,loser score,target,strategy,opponent,hand,used
tree-v6,508,464,2,"[1, 0, 2, 0, 1, 2, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",3 4 4 5 5 6 6 7 7 7 9 9 9 9 9 K K K 2 2 2 2, 4 5 6 7 8 10 J Q K A 
tree-v6,508,464,2,"[1, 0, 1, 0, 1, 2, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",3 4 4 5 5 6 6 9 9 9 9 9 K K K 2 2 2 2, 4 5 6 7 8 10 J Q K A 7 7 7 
tree-v6,508,464,0,"[1, 0, 0, 0, 1, 2, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",3 4 4 5 5 6 6 9 9 9 9 9 2 2 2 2, 4 5 6 7 8 10 J Q K A 7 7 7 K K K 
tree-v6,508,464,4,"[0, 0, 0, 0, 1, 0, 0, 0]","[2, 0, 0, 2, 0, 1, 0, 1]",4 4 5 5 6 6, 4 5 6 7 8 10 J Q K A 7 7 7 K K K 3 6 9 Q 8 9 10 J Q A A A 3 3 9 9 9 9 J J J J 2 2 2 2 
AI-origin,444,504,3,"[3, 2, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 5 5 5 6 6 6 6 7 7 7 8 8 8 9 10 J J J Q K K A A 2, 
AI-origin,444,504,7,"[3, 2, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 5 5 5 6 6 6 6 7 7 7 8 8 8 J J K A A 2, 9 10 J Q K 
AI-origin,444,504,2,"[3, 2, 2, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4 6 6 6 6 7 7 7 8 8 8 J J K A A 2, 9 10 J Q K 5 5 5 3 3 
AI-origin,444,504,0,"[2, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 2, 0, 0]",4 6 6 6 6 J J K A A, 9 10 J Q K 5 5 5 3 3 7 7 7 10 10 10 10 10 3 3 3 8 8 8 2 2 2 2 A 2 
AI-origin,444,504,1,"[0, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 1, 0, 0, 2, 0, 0]",6 6 6 6 J J A A, 9 10 J Q K 5 5 5 3 3 7 7 7 10 10 10 10 10 3 3 3 8 8 8 2 2 2 2 A 2 4 7 K 
AI-origin,444,504,5,"[0, 0, 0, 0, 0, 1, 0, 0]","[2, 1, 1, 0, 0, 2, 0, 0]",6 6 6 6, 9 10 J Q K 5 5 5 3 3 7 7 7 10 10 10 10 10 3 3 3 8 8 8 2 2 2 2 A 2 4 7 K J J K K A A 
AI-origin,434,480,3,"[2, 4, 4, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 4 4 5 5 5 6 7 7 8 8 8 9 10 J J Q Q Q K K K A 2 2, 
AI-origin,434,480,2,"[1, 4, 4, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]",3 3 3 4 4 5 5 5 7 8 8 J J Q Q Q K K K 2 2, 6 7 8 9 10 5 5 5 5 A A A 3 3 2 2 2 7 A 
AI-origin,434,480,2,"[1, 4, 3, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]",4 4 5 5 5 7 8 8 J J Q Q Q K K K 2 2, 6 7 8 9 10 5 5 5 5 A A A 3 3 2 2 2 7 A 3 3 3 
AI-origin,434,480,2,"[1, 4, 2, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]",4 4 7 8 8 J J Q Q Q K K K 2 2, 6 7 8 9 10 5 5 5 5 A A A 3 3 2 2 2 7 A 3 3 3 5 5 5 
AI-origin,434,480,2,"[1, 4, 1, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]",4 4 7 8 8 J J K K K 2 2, 6 7 8 9 10 5 5 5 5 A A A 3 3 2 2 2 7 A 3 3 3 5 5 5 Q Q Q 
AI-origin,434,480,1,"[1, 4, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]",4 4 7 8 8 J J 2 2, 6 7 8 9 10 5 5 5 5 A A A 3 3 2 2 2 7 A 3 3 3 5 5 5 Q Q Q K K K 
AI-origin,434,480,0,"[1, 2, 0, 0, 0, 0, 0, 0]","[4, 0, 1, 0, 0, 3, 0, 1]",7 8 8 J J, 6 7 8 9 10 5 5 5 5 A A A 3 3 2 2 2 7 A 3 3 3 5 5 5 Q Q Q K K K 4 4 6 6 6 6 6 10 J 2 9 9 9 9 Q 2 
AI-origin,434,480,1,"[0, 2, 0, 0, 0, 0, 0, 0]","[4, 0, 1, 0, 0, 3, 0, 1]",8 8 J J, 6 7 8 9 10 5 5 5 5 A A A 3 3 2 2 2 7 A 3 3 3 5 5 5 Q Q Q K K K 4 4 6 6 6 6 6 10 J 2 9 9 9 9 Q 2 7 
AI-origin,434,480,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 0, 1, 0, 0, 3, 0, 1]",J J, 6 7 8 9 10 5 5 5 5 A A A 3 3 2 2 2 7 A 3 3 3 5 5 5 Q Q Q K K K 4 4 6 6 6 6 6 10 J 2 9 9 9 9 Q 2 7 8 8 
tree-v6,459,469,2,"[2, 1, 2, 0, 0, 2, 0, 0]","[1, 5, 1, 0, 0, 0, 0, 1]",3 4 4 4 6 6 6 7 7 8 8 8 8 Q Q Q Q K, 5 5 5 3 3 K K K 4 4 5 5 7 7 9 9 10 10 J J Q Q A A 2 2 6 10 
tree-v6,459,469,2,"[2, 1, 1, 0, 0, 2, 0, 0]","[1, 5, 1, 0, 0, 0, 0, 1]",3 6 6 6 7 7 8 8 8 8 Q Q Q Q K, 5 5 5 3 3 K K K 4 4 5 5 7 7 9 9 10 10 J J Q Q A A 2 2 6 10 4 4 4 
tree-v6,459,469,0,"[2, 1, 0, 0, 0, 2, 0, 0]","[1, 5, 1, 0, 0, 0, 0, 1]",3 7 7 8 8 8 8 Q Q Q Q K, 5 5 5 3 3 K K K 4 4 5 5 7 7 9 9 10 10 J J Q Q A A 2 2 6 10 4 4 4 6 6 6 
tree-v6,459,469,0,"[1, 1, 0, 0, 0, 2, 0, 0]","[1, 5, 1, 0, 0, 0, 0, 1]",7 7 8 8 8 8 Q Q Q Q K, 5 5 5 3 3 K K K 4 4 5 5 7 7 9 9 10 10 J J Q Q A A 2 2 6 10 4 4 4 6 6 6 3 
tree-v6,459,469,1,"[0, 1, 0, 0, 0, 2, 0, 0]","[1, 5, 1, 0, 0, 0, 0, 1]",7 7 8 8 8 8 Q Q Q Q, 5 5 5 3 3 K K K 4 4 5 5 7 7 9 9 10 10 J J Q Q A A 2 2 6 10 4 4 4 6 6 6 3 K 
tree-v6,496,459,0,"[2, 6, 0, 1, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 5 6 6 7 8 8 8 9 9 9 9 10 10 J J Q K K A A 2 2 2 2, 
