winner,winner score,loser score,target,strategy,opponent,hand,used
forest-v4,481,515,0,"[3, 0, 0, 0, 1, 0, 0, 1]","[2, 3, 0, 0, 0, 2, 0, 1]",3 4 4 5 7 7 7 8 8 9 9 10 10 K, 8 8 8 7 7 3 4 10 Q 6 6 6 6 9 9 2 2 J J J J Q Q 2 2 A A A A 10 J Q K A 
forest-v4,481,515,0,"[2, 0, 0, 0, 1, 0, 0, 1]","[2, 3, 0, 0, 0, 2, 0, 1]",4 4 5 7 7 7 8 8 9 9 10 10 K, 8 8 8 7 7 3 4 10 Q 6 6 6 6 9 9 2 2 J J J J Q Q 2 2 A A A A 10 J Q K A 3 
forest-v4,481,515,0,"[1, 0, 0, 0, 1, 0, 0, 1]","[2, 3, 0, 0, 0, 2, 0, 1]",4 4 7 7 7 8 8 9 9 10 10 K, 8 8 8 7 7 3 4 10 Q 6 6 6 6 9 9 2 2 J J J J Q Q 2 2 A A A A 10 J Q K A 3 5 
forest-v4,481,515,4,"[0, 0, 0, 0, 1, 0, 0, 1]","[2, 3, 0, 0, 0, 2, 0, 1]",4 4 7 7 7 8 8 9 9 10 10, 8 8 8 7 7 3 4 10 Q 6 6 6 6 9 9 2 2 J J J J Q Q 2 2 A A A A 10 J Q K A 3 5 K 
forest-v4,481,515,7,"[0, 0, 0, 0, 0, 0, 0, 1]","[2, 3, 0, 0, 0, 2, 0, 1]",4 4 7 7 7, 8 8 8 7 7 3 4 10 Q 6 6 6 6 9 9 2 2 J J J J Q Q 2 2 A A A A 10 J Q K A 3 5 K 8 8 9 9 10 10 
tree-v6,474,492,7,"[1, 1, 0, 0, 0, 2, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 4 4 4 4 5 5 6 6 7 7 7 8 8 8 8 8 Q A A A, 4 5 6 7 8 9 10 J Q K 
tree-v6,474,492,7,"[1, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",5 5 6 6 8 8 8 8 8 Q A A A, 4 5 6 7 8 9 10 J Q K 7 7 7 3 3 2 2 2 4 4 4 4 4 4 
tree-v6,474,492,0,"[1, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1]",6 6 8 8 8 8 8 Q, 4 5 6 7 8 9 10 J Q K 7 7 7 3 3 2 2 2 4 4 4 4 4 4 A A A 5 5 
tree-v6,474,492,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 1]",6 6, 4 5 6 7 8 9 10 J Q K 7 7 7 3 3 2 2 2 4 4 4 4 4 4 A A A 5 5 Q K K K K K 3 8 8 8 8 8 
tree-v6,488,464,7,"[1, 4, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 5 5 6 6 6 7 7 9 9 10 10 10 10 J J A A A A 2, 6 6 6 4 4 8 8 8 4 4 
tree-v6,488,464,1,"[0, 4, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 2]",5 5 7 7 9 9 10 10 10 10 J J A A A A, 6 6 6 4 4 8 8 8 4 4 6 6 6 3 3 7 7 7 5 5 3 2 
tree-v6,488,464,1,"[0, 2, 0, 0, 0, 1, 0, 0]","[1, 2, 0, 0, 0, 0, 0, 2]",7 7 J J A A A A, 6 6 6 4 4 8 8 8 4 4 6 6 6 3 3 7 7 7 5 5 3 2 5 5 8 8 9 9 A A 10 10 10 10 
tree-v6,488,464,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 1, 0, 2]",J J, 6 6 6 4 4 8 8 8 4 4 6 6 6 3 3 7 7 7 5 5 3 2 5 5 8 8 9 9 A A 10 10 10 10 7 7 9 9 9 9 10 A A A A 
tree-v6,520,532,0,"[2, 4, 0, 1, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 5 5 5 5 6 7 8 8 8 9 9 10 J J Q Q Q Q K A A 2 2 2 2, 
tree-v6,520,532,0,"[1, 4, 0, 1, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",3 3 6 7 8 8 8 9 10 J J Q Q Q Q K A A 2 2 2 2, 9 2 5 5 5 5 
tree-v6,520,532,1,"[0, 4, 0, 1, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",3 3 6 7 8 8 8 9 10 J J Q Q Q Q A A 2 2 2 2, 9 2 5 5 5 5 K 
tree-v6,520,532,1,"[0, 3, 0, 1, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",6 7 8 8 8 9 10 J J Q Q Q Q A A 2 2 2 2, 9 2 5 5 5 5 K 3 3 
