winner,winner score,loser score,strategy,opponent,against,hand,length,target
tree-v4,315,325,"[3, 5, 0, 0, 0, 2, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 0]",0,3 3 4 4 5 6 6 7 8 8 10 10 10 J Q Q Q Q K K K K K A A 2 2,26,best
tree-v4,315,325,"[2, 5, 0, 0, 0, 2, 0, 1]","[2, 0, 0, 0, 0, 0, 0, 0]",0,3 3 4 4 5 6 6 8 8 10 10 10 J Q Q Q Q K K K K K A A 2 2,25,bomb
tree-v4,315,325,"[2, 5, 0, 0, 0, 1, 0, 1]","[2, 0, 0, 0, 0, 1, 0, 0]",5,3 3 4 4 5 6 6 8 8 10 10 10 J K K K K K A A 2 2,20,best
tree-v4,315,325,"[2, 5, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 0]",5,4 4 5 6 6 8 8 J A A 2 2,16,pass
tree-v4,315,325,"[2, 5, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 2, 0, 0]",1,4 4 5 6 6 8 8 J A A 2 2,14,best
tree-v4,315,325,"[2, 4, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 2, 0, 0]",1,4 4 5 8 8 J A A 2 2,12,best
tree-v4,315,325,"[2, 3, 0, 0, 0, 0, 0, 0]","[2, 3, 0, 0, 0, 2, 0, 0]",1,4 4 5 8 8 J 2 2,10,pass
tree-v4,315,325,"[2, 3, 0, 0, 0, 0, 0, 0]","[2, 4, 0, 0, 0, 2, 0, 0]",1,4 4 5 8 8 J 2 2,8,best
tree-v4,315,325,"[2, 2, 0, 0, 0, 0, 0, 0]","[2, 5, 0, 0, 0, 2, 0, 0]",1,4 4 5 J 2 2,6,best
tree-v4,315,325,"[2, 1, 0, 0, 0, 0, 0, 0]","[2, 5, 0, 0, 0, 3, 0, 0]",5,4 4 5 J,2,best
new-big-forest,319,295,"[3, 2, 0, 0, 1, 1, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 0]",3,3 3 4 5 5 7 7 7 8 8 9 9 10 10 J J J Q Q K A A A A 2 2 2,22,pass
new-big-forest,319,295,"[3, 2, 0, 0, 1, 1, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 1]",7,3 3 4 5 5 7 7 7 8 8 9 9 10 10 J J J Q Q K A A A A 2 2 2,17,best
new-big-forest,319,295,"[3, 2, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 2]",7,4 5 5 7 7 7 8 8 9 9 10 10 Q Q K A A A A 2 2 2,12,best
new-big-forest,319,295,"[1, 1, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 2]",0,8 8 9 9 10 10 Q Q K A A A A,11,best
new-big-forest,319,295,"[0, 1, 0, 0, 1, 1, 0, 0]","[2, 0, 0, 1, 0, 0, 0, 2]",0,8 8 9 9 10 10 Q Q A A A A,10,pass
new-big-forest,319,295,"[0, 1, 0, 0, 1, 1, 0, 0]","[2, 1, 0, 1, 0, 0, 0, 2]",1,8 8 9 9 10 10 Q Q A A A A,8,best
new-big-forest,319,295,"[0, 0, 0, 0, 1, 1, 0, 0]","[2, 2, 0, 1, 0, 0, 0, 2]",1,8 8 9 9 10 10 A A A A,6,best
new-big-forest,276,289,"[2, 0, 0, 0, 1, 1, 0, 2]","[0, 0, 0, 0, 0, 1, 0, 0]",5,3 3 3 3 4 4 5 5 5 6 6 7 8 8 8 9 J J Q Q K K,23,bomb
new-big-forest,276,289,"[2, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",7,6 6 7 8 8 8 9 J J Q Q K K,18,pass
