winner,winner score,loser score,target,strategy,opponent,hand,used
AI-random,277,301,1,"[1, 3, 1, 0, 0, 2, 1, 0]","[3, 0, 0, 0, 0, 0, 0, 2]",3 3 3 5 5 5 5 6 6 6 7 7 7 9 9 10 10 Q Q Q Q A 2 2, 9 9 9 5 5 2 2 2 6 6 3 4 5 8 Q K 
AI-random,277,301,2,"[1, 1, 1, 0, 0, 2, 1, 0]","[3, 1, 0, 0, 0, 0, 0, 2]",3 3 3 5 5 5 5 6 6 6 7 7 7 10 10 Q Q Q Q A, 9 9 9 5 5 2 2 2 6 6 3 4 5 8 Q K 9 9 A A 2 2 
AI-random,277,301,5,"[1, 1, 0, 0, 0, 2, 1, 0]","[3, 1, 0, 0, 0, 0, 0, 2]",5 5 5 5 6 6 6 7 7 7 10 10 Q Q Q Q A, 9 9 9 5 5 2 2 2 6 6 3 4 5 8 Q K 9 9 A A 2 2 3 3 3 
AI-random,277,301,1,"[1, 1, 0, 0, 0, 0, 1, 0]","[3, 1, 0, 0, 0, 1, 0, 2]",6 6 6 7 7 7 10 10 A, 9 9 9 5 5 2 2 2 6 6 3 4 5 8 Q K 9 9 A A 2 2 3 3 3 5 5 5 5 8 8 8 8 Q Q Q Q 
AI-random,277,301,0,"[1, 0, 0, 0, 0, 0, 1, 0]","[3, 1, 0, 0, 0, 1, 0, 2]",6 6 6 7 7 7 A, 9 9 9 5 5 2 2 2 6 6 3 4 5 8 Q K 9 9 A A 2 2 3 3 3 5 5 5 5 8 8 8 8 Q Q Q Q 10 10 
AI-random,277,301,6,"[0, 0, 0, 0, 0, 0, 1, 0]","[3, 1, 0, 0, 0, 1, 0, 2]",6 6 6 7 7 7, 9 9 9 5 5 2 2 2 6 6 3 4 5 8 Q K 9 9 A A 2 2 3 3 3 5 5 5 5 8 8 8 8 Q Q Q Q 10 10 A 
AI-tree-model,287,303,3,"[1, 3, 0, 1, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 4 4 4 5 5 5 6 7 8 8 9 10 10 10 Q Q Q K K A A 2 2 2, 
AI-tree-model,287,303,0,"[1, 3, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 5 5 8 8 9 10 10 10 Q Q Q K K A A 2 2 2, 3 4 5 6 7 
AI-tree-model,287,303,1,"[0, 2, 0, 0, 0, 0, 0, 3]","[1, 1, 0, 0, 0, 1, 0, 0]",3 3 4 4 5 5 8 8 10 10 10 Q Q Q A A 2 2 2, 3 4 5 6 7 9 10 6 6 6 6 8 8 K K 
AI-tree-model,287,303,7,"[0, 0, 0, 0, 0, 0, 0, 3]","[1, 2, 0, 0, 0, 1, 0, 0]",3 3 4 4 5 5 10 10 10 Q Q Q 2 2 2, 3 4 5 6 7 9 10 6 6 6 6 8 8 K K 8 8 Q Q A A 
AI-tree-model,287,303,7,"[0, 0, 0, 0, 0, 0, 0, 2]","[1, 2, 0, 0, 0, 1, 0, 0]",4 4 5 5 Q Q Q 2 2 2, 3 4 5 6 7 9 10 6 6 6 6 8 8 K K 8 8 Q Q A A 10 10 10 3 3 
AI-tree-model,287,303,1,"[1, 1, 0, 0, 0, 0, 0, 0]","[1, 3, 0, 1, 0, 3, 0, 0]",5 5 2, 3 4 5 6 7 9 10 6 6 6 6 8 8 K K 8 8 Q Q A A 10 10 10 3 3 Q Q Q 4 4 9 9 9 9 A A A A 3 4 5 6 7 K K 2 2 
AI-tree-model,287,303,0,"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 0, 1, 0, 3, 0, 0]",2, 3 4 5 6 7 9 10 6 6 6 6 8 8 K K 8 8 Q Q A A 10 10 10 3 3 Q Q Q 4 4 9 9 9 9 A A A A 3 4 5 6 7 K K 2 2 5 5 
AI-tree-model,294,305,1,"[4, 1, 0, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 2]",5 5 5 6 7 7 9 9 9 10 10 10 J Q Q Q A A A A 2, 6 6 6 3 3 8 8 8 3 3 K K K 5 5 3 4 
AI-tree-model,294,305,0,"[4, 0, 0, 0, 0, 0, 1, 1]","[1, 2, 0, 0, 0, 1, 0, 2]",5 5 5 6 9 9 9 10 10 10 J Q Q Q 2, 6 6 6 3 3 8 8 8 3 3 K K K 5 5 3 4 7 7 A A 7 7 J J J J A A A A 
AI-tree-model,294,305,0,"[3, 0, 0, 0, 0, 0, 1, 1]","[1, 2, 0, 0, 0, 1, 0, 2]",5 5 6 9 9 9 10 10 10 J Q Q Q 2, 6 6 6 3 3 8 8 8 3 3 K K K 5 5 3 4 7 7 A A 7 7 J J J J A A A A 5 
AI-tree-model,294,305,0,"[2, 0, 0, 0, 0, 0, 1, 1]","[1, 2, 0, 0, 0, 1, 0, 2]",5 5 9 9 9 10 10 10 J Q Q Q 2, 6 6 6 3 3 8 8 8 3 3 K K K 5 5 3 4 7 7 A A 7 7 J J J J A A A A 5 6 
AI-tree-model,294,305,0,"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 2, 0, 0, 0, 1, 0, 2]",5 5 9 9 9 10 10 10 Q Q Q 2, 6 6 6 3 3 8 8 8 3 3 K K K 5 5 3 4 7 7 A A 7 7 J J J J A A A A 5 6 J 
AI-tree-model,294,305,6,"[0, 0, 0, 0, 0, 0, 1, 1]","[1, 2, 0, 0, 0, 1, 0, 2]",5 5 9 9 9 10 10 10 Q Q Q, 6 6 6 3 3 8 8 8 3 3 K K K 5 5 3 4 7 7 A A 7 7 J J J J A A A A 5 6 J 2 
AI-tree-model,294,305,7,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 2, 0, 0, 0, 1, 0, 2]",5 5 Q Q Q, 6 6 6 3 3 8 8 8 3 3 K K K 5 5 3 4 7 7 A A 7 7 J J J J A A A A 5 6 J 2 9 9 9 10 10 10 
AI-tree-model,287,320,7,"[5, 2, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 5 5 5 5 7 7 7 7 7 7 8 9 9 10 J J A 2 2 2, J J J 4 4 K K K 3 3 
AI-tree-model,287,320,0,"[5, 2, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 5 5 5 5 7 7 7 7 8 9 9 10 J J A, J J J 4 4 K K K 3 3 2 2 2 7 7 
AI-tree-model,287,320,0,"[3, 2, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1]",4 5 5 5 5 7 7 7 7 8 9 9 10 J J, J J J 4 4 K K K 3 3 2 2 2 7 7 3 K A 
AI-tree-model,287,320,0,"[2, 2, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1]",5 5 5 5 7 7 7 7 8 9 9 10 J J, J J J 4 4 K K K 3 3 2 2 2 7 7 3 K A 4 
AI-tree-model,287,320,0,"[1, 2, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1]",5 5 5 5 7 7 7 7 9 9 10 J J, J J J 4 4 K K K 3 3 2 2 2 7 7 3 K A 4 8 
AI-tree-model,287,320,1,"[0, 2, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1]",5 5 5 5 7 7 7 7 9 9 J J, J J J 4 4 K K K 3 3 2 2 2 7 7 3 K A 4 8 10 
AI-tree-model,287,320,5,"[0, 0, 0, 0, 0, 1, 0, 0]","[2, 4, 0, 0, 0, 2, 0, 1]",7 7 7 7, J J J 4 4 K K K 3 3 2 2 2 7 7 3 K A 4 8 10 9 9 A A 10 10 10 10 5 5 J J 2 2 6 6 Q Q Q Q 3 5 5 5 5 
AI-random,303,306,5,"[1, 1, 0, 0, 1, 3, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 2]",3 3 3 3 5 5 5 5 7 7 7 7 9 10 10 K K A A 2 2, 7 7 7 4 4 Q Q Q 4 4 A A A 6 6 3 6 
AI-random,303,306,1,"[0, 1, 0, 0, 1, 2, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 2]",5 5 5 5 7 7 7 7 10 10 K K A A 2 2, 7 7 7 4 4 Q Q Q 4 4 A A A 6 6 3 6 3 3 3 3 2 2 2 2 5 9 
AI-random,303,306,4,"[0, 0, 0, 0, 1, 2, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 2]",5 5 5 5 7 7 7 7 K K A A 2 2, 7 7 7 4 4 Q Q Q 4 4 A A A 6 6 3 6 3 3 3 3 2 2 2 2 5 9 10 10 
AI-random,303,306,5,"[0, 0, 0, 0, 0, 2, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 2]",5 5 5 5 7 7 7 7, 7 7 7 4 4 Q Q Q 4 4 A A A 6 6 3 6 3 3 3 3 2 2 2 2 5 9 10 10 K K A A 2 2 
AI-random,303,306,5,"[0, 0, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 2]",7 7 7 7, 7 7 7 4 4 Q Q Q 4 4 A A A 6 6 3 6 3 3 3 3 2 2 2 2 5 9 10 10 K K A A 2 2 5 5 5 5 
